latitude,longitude,timestamp
51.6105,58.5029,1586854646
51.5907,59.5549,1586854656
51.5624,60.5557,1586854666
51.5227,61.6044,1586854677
51.4755,62.6015,1586854687
51.4160,63.6459,1586854698
51.3500,64.6376,1586854708
51.2710,65.6754,1586854718
51.1820,66.7094,1586854729
51.0880,67.6900,1586854739
50.9798,68.7149,1586854749
50.8677,69.6862,1586854759
50.7406,70.7006,1586854770
50.6039,71.7094,1586854780
50.4650,72.6640,1586854790
50.3101,73.6599,1586854801
50.1539,74.6020,1586854811
49.9810,75.5841,1586854821
49.8080,76.5124,1586854831
49.6177,77.4793,1586854842
49.4186,78.4384,1586854852
49.2210,79.3440,1586854862
49.0052,80.2868,1586854873
48.7920,81.1765,1586854883
48.5600,82.1022,1586854894
48.3316,82.9753,1586854904
48.0840,83.8832,1586854914
47.8287,84.7815,1586854925
47.5784,85.6285,1586854935
47.3083,86.5086,1586854945
47.0442,87.3380,1586854955
46.7598,88.1994,1586854966
46.4683,89.0514,1586854976
46.1843,89.8537,1586854986
45.8795,90.6866,1586854997
45.5830,91.4708,1586855007
45.2653,92.2848,1586855017
44.9569,93.0512,1586855027
44.6270,93.8463,1586855038
44.2910,94.6319,1586855048
43.9654,95.3712,1586855058
43.6179,96.1383,1586855069
43.2817,96.8600,1586855079
42.9233,97.6087,1586855090
42.5769,98.3131,1586855100
42.2080,99.0439,1586855110
41.8340,99.7656,1586855121
41.4731,100.4446,1586855131
41.0894,101.1489,1586855141
40.7195,101.8114,1586855151
40.3264,102.4988,1586855162
39.9289,103.1775,1586855172
39.5462,103.8162,1586855182
39.1401,104.4786,1586855193
38.7494,105.1019,1586855203
38.3352,105.7486,1586855213
37.9170,106.3872,1586855224
37.5151,106.9883,1586855234
37.0894,107.6119,1586855244
36.6806,108.1989,1586855254
36.2477,108.8080,1586855265
35.8114,109.4098,1586855275
35.3926,109.9765,1586855286
34.9495,110.5648,1586855296
34.5246,111.1187,1586855306
34.0754,111.6936,1586855317
33.6231,112.2621,1586855327
33.1896,112.7974,1586855337
32.7315,113.3534,1586855348
32.2927,113.8771,1586855358
31.8292,114.4212,1586855368
31.3853,114.9338,1586855378
30.9166,115.4665,1586855389
30.4454,115.9935,1586855399
29.9944,116.4903,1586855409
29.5184,117.0067,1586855420
29.0629,117.4936,1586855430
28.5825,117.9997,1586855440
28.1000,118.5008,1586855451
27.6384,118.9735,1586855461
27.1517,119.4652,1586855471
